w,A_A,p_A,A_B,p_B
8.987e+02,-3.649e+01,-3.400e+00,-3.497e+01,-2.341e+00
9.000e+02,-3.668e+01,-3.403e+00,-3.466e+01,-2.356e+00
9.012e+02,-3.688e+01,-3.405e+00,-3.437e+01,-2.371e+00
9.025e+02,-3.708e+01,-3.407e+00,-3.410e+01,-2.388e+00
9.037e+02,-3.728e+01,-3.407e+00,-3.385e+01,-2.406e+00
9.050e+02,-3.749e+01,-3.407e+00,-3.361e+01,-2.425e+00
9.062e+02,-3.770e+01,-3.405e+00,-3.338e+01,-2.444e+00
9.075e+02,-3.791e+01,-3.402e+00,-3.317e+01,-2.464e+00
9.087e+02,-3.813e+01,-3.398e+00,-3.297e+01,-2.485e+00
9.100e+02,-3.834e+01,-3.393e+00,-3.279e+01,-2.506e+00
9.112e+02,-3.856e+01,-3.386e+00,-3.261e+01,-2.527e+00
9.125e+02,-3.878e+01,-3.378e+00,-3.245e+01,-2.549e+00
9.137e+02,-3.900e+01,-3.368e+00,-3.230e+01,-2.572e+00
9.150e+02,-3.922e+01,-3.357e+00,-3.216e+01,-2.594e+00
9.162e+02,-3.943e+01,-3.344e+00,-3.203e+01,-2.617e+00
9.175e+02,-3.965e+01,-3.329e+00,-3.191e+01,-2.641e+00
9.187e+02,-3.985e+01,-3.312e+00,-3.181e+01,-2.664e+00
9.200e+02,-4.005e+01,-3.294e+00,-3.171e+01,-2.688e+00
9.212e+02,-4.025e+01,-3.274e+00,-3.162e+01,-2.712e+00
9.225e+02,-4.043e+01,-3.253e+00,-3.154e+01,-2.736e+00
9.237e+02,-4.060e+01,-3.229e+00,-3.147e+01,-2.760e+00
9.250e+02,-4.076e+01,-3.204e+00,-3.141e+01,-2.784e+00
9.262e+02,-4.090e+01,-3.178e+00,-3.135e+01,-2.809e+00
9.275e+02,-4.102e+01,-3.150e+00,-3.131e+01,-2.834e+00
9.287e+02,-4.113e+01,-3.121e+00,-3.127e+01,-2.858e+00
9.300e+02,-4.122e+01,-3.091e+00,-3.124e+01,-2.883e+00
9.312e+02,-4.129e+01,-3.061e+00,-3.123e+01,-2.908e+00
9.325e+02,-4.133e+01,-3.030e+00,-3.121e+01,-2.933e+00
9.337e+02,-4.135e+01,-2.999e+00,-3.121e+01,-2.958e+00
9.350e+02,-4.136e+01,-2.968e+00,-3.122e+01,-2.983e+00
9.362e+02,-4.134e+01,-2.937e+00,-3.123e+01,-3.008e+00
9.375e+02,-4.130e+01,-2.908e+00,-3.125e+01,-3.033e+00
9.387e+02,-4.124e+01,-2.879e+00,-3.128e+01,-3.058e+00
9.400e+02,-4.116e+01,-2.851e+00,-3.132e+01,-3.083e+00
9.412e+02,-4.106e+01,-2.825e+00,-3.136e+01,-3.108e+00
9.425e+02,-4.095e+01,-2.800e+00,-3.141e+01,-3.133e+00
9.437e+02,-4.083e+01,-2.776e+00,-3.148e+01,-3.158e+00
9.450e+02,-4.069e+01,-2.754e+00,-3.154e+01,-3.183e+00
9.462e+02,-4.055e+01,-2.734e+00,-3.162e+01,-3.208e+00
9.475e+02,-4.039e+01,-2.716e+00,-3.171e+01,-3.232e+00
9.487e+02,-4.023e+01,-2.700e+00,-3.180e+01,-3.257e+00
9.500e+02,-4.007e+01,-2.685e+00,-3.191e+01,-3.282e+00
9.512e+02,-3.990e+01,-2.672e+00,-3.202e+01,-3.306e+00
9.525e+02,-3.973e+01,-2.661e+00,-3.214e+01,-3.330e+00
9.537e+02,-3.955e+01,-2.651e+00,-3.227e+01,-3.354e+00
9.550e+02,-3.938e+01,-2.642e+00,-3.241e+01,-3.378e+00
9.562e+02,-3.921e+01,-2.636e+00,-3.256e+01,-3.402e+00
9.575e+02,-3.904e+01,-2.630e+00,-3.272e+01,-3.425e+00
9.587e+02,-3.887e+01,-2.626e+00,-3.289e+01,-3.448e+00
9.600e+02,-3.870e+01,-2.623e+00,-3.307e+01,-3.471e+00
9.612e+02,-3.854e+01,-2.621e+00,-3.326e+01,-3.493e+00
9.625e+02,-3.838e+01,-2.621e+00,-3.346e+01,-3.516e+00
9.637e+02,-3.822e+01,-2.621e+00,-3.367e+01,-3.537e+00
9.650e+02,-3.807e+01,-2.623e+00,-3.390e+01,-3.559e+00
9.662e+02,-3.792e+01,-2.625e+00,-3.414e+01,-3.580e+00
9.675e+02,-3.778e+01,-2.628e+00,-3.439e+01,-3.600e+00
9.687e+02,-3.764e+01,-2.632e+00,-3.465e+01,-3.620e+00
9.700e+02,-3.750e+01,-2.637e+00,-3.493e+01,-3.639e+00
9.712e+02,-3.737e+01,-2.643e+00,-3.522e+01,-3.657e+00
9.725e+02,-3.725e+01,-2.649e+00,-3.553e+01,-3.674e+00
9.737e+02,-3.712e+01,-2.656e+00,-3.586e+01,-3.691e+00
9.750e+02,-3.701e+01,-2.663e+00,-3.620e+01,-3.706e+00
9.762e+02,-3.690e+01,-2.671e+00,-3.656e+01,-3.720e+00
9.775e+02,-3.679e+01,-2.679e+00,-3.694e+01,-3.733e+00
9.787e+02,-3.669e+01,-2.688e+00,-3.735e+01,-3.744e+00
9.800e+02,-3.659e+01,-2.697e+00,-3.777e+01,-3.753e+00
9.812e+02,-3.650e+01,-2.707e+00,-3.822e+01,-3.759e+00
9.825e+02,-3.641e+01,-2.717e+00,-3.869e+01,-3.764e+00
9.837e+02,-3.633e+01,-2.728e+00,-3.919e+01,-3.765e+00
9.850e+02,-3.625e+01,-2.739e+00,-3.972e+01,-3.762e+00
9.862e+02,-3.618e+01,-2.750e+00,-4.027e+01,-3.756e+00
9.875e+02,-3.611e+01,-2.761e+00,-4.086e+01,-3.744e+00
9.887e+02,-3.605e+01,-2.773e+00,-4.147e+01,-3.726e+00
9.900e+02,-3.599e+01,-2.785e+00,-4.210e+01,-3.701e+00
9.912e+02,-3.593e+01,-2.797e+00,-4.276e+01,-3.667e+00
9.925e+02,-3.588e+01,-2.809e+00,-4.343e+01,-3.623e+00
9.937e+02,-3.584e+01,-2.822e+00,-4.410e+01,-3.566e+00
9.950e+02,-3.580e+01,-2.835e+00,-4.475e+01,-3.495e+00
9.962e+02,-3.576e+01,-2.848e+00,-4.535e+01,-3.410e+00
9.975e+02,-3.573e+01,-2.861e+00,-4.585e+01,-3.309e+00
9.987e+02,-3.570e+01,-2.874e+00,-4.621e+01,-3.195e+00
1.000e+03,-3.568e+01,-2.887e+00,-4.639e+01,-3.073e+00
