w,A_A,p_A,A_B,p_B
3.073e+02,-1.978e+01,-2.336e+00,-1.188e+01,-2.979e+00
3.086e+02,-1.965e+01,-2.331e+00,-1.202e+01,-3.004e+00
3.098e+02,-1.952e+01,-2.327e+00,-1.216e+01,-3.029e+00
3.111e+02,-1.939e+01,-2.325e+00,-1.231e+01,-3.054e+00
3.123e+02,-1.926e+01,-2.323e+00,-1.247e+01,-3.079e+00
3.136e+02,-1.914e+01,-2.323e+00,-1.263e+01,-3.103e+00
3.148e+02,-1.902e+01,-2.324e+00,-1.281e+01,-3.128e+00
3.161e+02,-1.890e+01,-2.326e+00,-1.299e+01,-3.152e+00
3.173e+02,-1.879e+01,-2.329e+00,-1.318e+01,-3.176e+00
3.186e+02,-1.868e+01,-2.332e+00,-1.338e+01,-3.200e+00
3.198e+02,-1.858e+01,-2.337e+00,-1.358e+01,-3.224e+00
3.211e+02,-1.848e+01,-2.342e+00,-1.380e+01,-3.247e+00
3.223e+02,-1.838e+01,-2.348e+00,-1.403e+01,-3.270e+00
3.236e+02,-1.829e+01,-2.355e+00,-1.427e+01,-3.293e+00
3.248e+02,-1.820e+01,-2.362e+00,-1.451e+01,-3.316e+00
3.261e+02,-1.812e+01,-2.370e+00,-1.477e+01,-3.338e+00
3.273e+02,-1.805e+01,-2.378e+00,-1.504e+01,-3.360e+00
3.286e+02,-1.797e+01,-2.387e+00,-1.532e+01,-3.381e+00
3.298e+02,-1.791e+01,-2.396e+00,-1.561e+01,-3.401e+00
3.311e+02,-1.784e+01,-2.406e+00,-1.592e+01,-3.422e+00
3.323e+02,-1.778e+01,-2.416e+00,-1.624e+01,-3.441e+00
3.336e+02,-1.773e+01,-2.427e+00,-1.657e+01,-3.460e+00
3.348e+02,-1.768e+01,-2.438e+00,-1.692e+01,-3.478e+00
3.361e+02,-1.763e+01,-2.449e+00,-1.728e+01,-3.495e+00
3.373e+02,-1.759e+01,-2.461e+00,-1.767e+01,-3.511e+00
3.386e+02,-1.755e+01,-2.473e+00,-1.806e+01,-3.526e+00
3.398e+02,-1.752e+01,-2.485e+00,-1.848e+01,-3.539e+00
3.411e+02,-1.749e+01,-2.497e+00,-1.892e+01,-3.551e+00
3.423e+02,-1.747e+01,-2.510e+00,-1.937e+01,-3.561e+00
3.436e+02,-1.744e+01,-2.523e+00,-1.985e+01,-3.570e+00
