w,A,u,m,p
8.316e+02,-3.239e+01,-2.725e+01,-3.328e+01,-2.033e+00
8.341e+02,-3.213e+01,-2.731e+01,-3.333e+01,-2.058e+00
8.366e+02,-3.188e+01,-2.736e+01,-3.338e+01,-2.083e+00
8.391e+02,-3.164e+01,-2.741e+01,-3.343e+01,-2.108e+00
8.416e+02,-3.143e+01,-2.746e+01,-3.348e+01,-2.133e+00
8.441e+02,-3.122e+01,-2.751e+01,-3.353e+01,-2.158e+00
8.466e+02,-3.103e+01,-2.757e+01,-3.359e+01,-2.183e+00
8.491e+02,-3.084e+01,-2.762e+01,-3.364e+01,-2.208e+00
8.516e+02,-3.067e+01,-2.767e+01,-3.369e+01,-2.233e+00
8.541e+02,-3.051e+01,-2.772e+01,-3.374e+01,-2.258e+00
8.566e+02,-3.036e+01,-2.777e+01,-3.379e+01,-2.283e+00
8.591e+02,-3.022e+01,-2.782e+01,-3.384e+01,-2.308e+00
8.616e+02,-3.009e+01,-2.787e+01,-3.389e+01,-2.333e+00
8.641e+02,-2.997e+01,-2.792e+01,-3.394e+01,-2.358e+00
8.666e+02,-2.985e+01,-2.797e+01,-3.399e+01,-2.383e+00
8.692e+02,-2.975e+01,-2.802e+01,-3.404e+01,-2.408e+00
8.717e+02,-2.965e+01,-2.807e+01,-3.409e+01,-2.433e+00
8.742e+02,-2.956e+01,-2.812e+01,-3.414e+01,-2.458e+00
8.767e+02,-2.947e+01,-2.817e+01,-3.419e+01,-2.483e+00
8.792e+02,-2.940e+01,-2.822e+01,-3.424e+01,-2.508e+00
8.817e+02,-2.933e+01,-2.827e+01,-3.429e+01,-2.533e+00
8.842e+02,-2.926e+01,-2.832e+01,-3.434e+01,-2.558e+00
8.867e+02,-2.921e+01,-2.837e+01,-3.439e+01,-2.583e+00
8.892e+02,-2.916e+01,-2.842e+01,-3.444e+01,-2.608e+00
8.917e+02,-2.911e+01,-2.847e+01,-3.449e+01,-2.633e+00
8.942e+02,-2.907e+01,-2.851e+01,-3.453e+01,-2.659e+00
8.967e+02,-2.904e+01,-2.856e+01,-3.458e+01,-2.684e+00
8.992e+02,-2.902e+01,-2.861e+01,-3.463e+01,-2.709e+00
