w,A,u,m,p
9.017e+02,-2.900e+01,-2.866e+01,-3.468e+01,-2.734e+00
9.042e+02,-2.898e+01,-2.871e+01,-3.473e+01,-2.759e+00
9.067e+02,-2.897e+01,-2.876e+01,-3.478e+01,-2.784e+00
9.092e+02,-2.897e+01,-2.880e+01,-3.482e+01,-2.809e+00
9.117e+02,-2.897e+01,-2.885e+01,-3.487e+01,-2.834e+00
9.142e+02,-2.898e+01,-2.890e+01,-3.492e+01,-2.859e+00
9.167e+02,-2.899e+01,-2.895e+01,-3.497e+01,-2.884e+00
9.192e+02,-2.901e+01,-2.899e+01,-3.501e+01,-2.909e+00
9.217e+02,-2.903e+01,-2.904e+01,-3.506e+01,-2.934e+00
9.242e+02,-2.906e+01,-2.909e+01,-3.511e+01,-2.959e+00
9.267e+02,-2.910e+01,-2.914e+01,-3.516e+01,-2.984e+00
9.292e+02,-2.913e+01,-2.918e+01,-3.520e+01,-3.009e+00
9.317e+02,-2.918e+01,-2.923e+01,-3.525e+01,-3.034e+00
9.342e+02,-2.923e+01,-2.928e+01,-3.530e+01,-3.059e+00
9.367e+02,-2.928e+01,-2.932e+01,-3.534e+01,-3.084e+00
9.392e+02,-2.934e+01,-2.937e+01,-3.539e+01,-3.109e+00
9.417e+02,-2.941e+01,-2.941e+01,-3.543e+01,-3.134e+00
9.442e+02,-2.948e+01,-2.946e+01,-3.548e+01,-3.159e+00
9.467e+02,-2.955e+01,-2.951e+01,-3.553e+01,-3.184e+00
9.492e+02,-2.963e+01,-2.955e+01,-3.557e+01,-3.209e+00
9.517e+02,-2.972e+01,-2.960e+01,-3.562e+01,-3.234e+00
9.542e+02,-2.981e+01,-2.964e+01,-3.566e+01,-3.259e+00
9.567e+02,-2.991e+01,-2.969e+01,-3.571e+01,-3.284e+00
9.592e+02,-3.001e+01,-2.973e+01,-3.575e+01,-3.309e+00
9.617e+02,-3.012e+01,-2.978e+01,-3.580e+01,-3.334e+00
9.642e+02,-3.023e+01,-2.982e+01,-3.585e+01,-3.359e+00
9.667e+02,-3.035e+01,-2.987e+01,-3.589e+01,-3.384e+00
9.692e+02,-3.048e+01,-2.991e+01,-3.594e+01,-3.409e+00
9.717e+02,-3.061e+01,-2.996e+01,-3.598e+01,-3.434e+00
9.742e+02,-3.075e+01,-3.000e+01,-3.602e+01,-3.459e+00
9.767e+02,-3.089e+01,-3.005e+01,-3.607e+01,-3.484e+00
9.792e+02,-3.104e+01,-3.009e+01,-3.611e+01,-3.509e+00
9.817e+02,-3.120e+01,-3.014e+01,-3.616e+01,-3.534e+00
9.842e+02,-3.136e+01,-3.018e+01,-3.620e+01,-3.559e+00
9.867e+02,-3.153e+01,-3.023e+01,-3.625e+01,-3.584e+00
9.892e+02,-3.171e+01,-3.027e+01,-3.629e+01,-3.609e+00
9.917e+02,-3.190e+01,-3.031e+01,-3.633e+01,-3.634e+00
9.942e+02,-3.209e+01,-3.036e+01,-3.638e+01,-3.659e+00
9.967e+02,-3.229e+01,-3.040e+01,-3.642e+01,-3.684e+00
9.992e+02,-3.250e+01,-3.044e+01,-3.647e+01,-3.709e+00
1.002e+03,-3.272e+01,-3.049e+01,-3.651e+01,-3.734e+00
1.004e+03,-3.294e+01,-3.053e+01,-3.655e+01,-3.759e+00
1.007e+03,-3.318e+01,-3.057e+01,-3.660e+01,-3.784e+00
1.009e+03,-3.342e+01,-3.062e+01,-3.664e+01,-3.809e+00
1.012e+03,-3.368e+01,-3.066e+01,-3.668e+01,-3.834e+00
1.014e+03,-3.395e+01,-3.070e+01,-3.672e+01,-3.859e+00
1.017e+03,-3.422e+01,-3.075e+01,-3.677e+01,-3.884e+00
1.019e+03,-3.451e+01,-3.079e+01,-3.681e+01,-3.909e+00
1.022e+03,-3.482e+01,-3.083e+01,-3.685e+01,-3.934e+00
1.024e+03,-3.513e+01,-3.087e+01,-3.689e+01,-3.959e+00
1.027e+03,-3.546e+01,-3.092e+01,-3.694e+01,-3.985e+00
1.029e+03,-3.581e+01,-3.096e+01,-3.698e+01,-4.010e+00
1.032e+03,-3.617e+01,-3.100e+01,-3.702e+01,-4.035e+00
1.034e+03,-3.655e+01,-3.104e+01,-3.706e+01,-4.060e+00
1.037e+03,-3.695e+01,-3.108e+01,-3.711e+01,-4.085e+00
1.039e+03,-3.736e+01,-3.113e+01,-3.715e+01,-4.110e+00
1.042e+03,-3.781e+01,-3.117e+01,-3.719e+01,-4.135e+00
1.044e+03,-3.827e+01,-3.121e+01,-3.723e+01,-4.160e+00
1.047e+03,-3.877e+01,-3.125e+01,-3.727e+01,-4.185e+00
1.049e+03,-3.929e+01,-3.129e+01,-3.731e+01,-4.210e+00
1.052e+03,-3.985e+01,-3.133e+01,-3.736e+01,-4.235e+00
1.054e+03,-4.044e+01,-3.138e+01,-3.740e+01,-4.260e+00
1.057e+03,-4.108e+01,-3.142e+01,-3.744e+01,-4.285e+00
1.059e+03,-4.177e+01,-3.146e+01,-3.748e+01,-4.310e+00
1.062e+03,-4.252e+01,-3.150e+01,-3.752e+01,-4.335e+00
1.064e+03,-4.334e+01,-3.154e+01,-3.756e+01,-4.360e+00
1.067e+03,-4.423e+01,-3.158e+01,-3.760e+01,-4.385e+00
1.069e+03,-4.523e+01,-3.162e+01,-3.764e+01,-4.410e+00
1.072e+03,-4.635e+01,-3.166e+01,-3.768e+01,-4.435e+00
1.074e+03,-4.764e+01,-3.170e+01,-3.772e+01,-4.460e+00
1.077e+03,-4.913e+01,-3.174e+01,-3.776e+01,-4.485e+00
1.079e+03,-5.093e+01,-3.178e+01,-3.780e+01,-4.510e+00
1.082e+03,-5.318e+01,-3.182e+01,-3.784e+01,-4.535e+00
1.084e+03,-5.620e+01,-3.186e+01,-3.788e+01,-4.560e+00
1.087e+03,-6.082e+01,-3.190e+01,-3.792e+01,-4.585e+00
1.089e+03,-7.119e+01,-3.194e+01,-3.796e+01,-4.610e+00
1.092e+03,-6.906e+01,-3.198e+01,-3.800e+01,-1.493e+00
1.094e+03,-6.022e+01,-3.202e+01,-3.804e+01,-1.518e+00
1.097e+03,-5.597e+01,-3.206e+01,-3.808e+01,-1.543e+00
1.099e+03,-5.315e+01,-3.210e+01,-3.812e+01,-1.568e+00
1.102e+03,-5.105e+01,-3.214e+01,-3.816e+01,-1.593e+00
1.104e+03,-4.938e+01,-3.218e+01,-3.820e+01,-1.619e+00
1.107e+03,-4.799e+01,-3.222e+01,-3.824e+01,-1.644e+00
1.109e+03,-4.681e+01,-3.226e+01,-3.828e+01,-1.669e+00
1.112e+03,-4.578e+01,-3.230e+01,-3.832e+01,-1.694e+00
1.114e+03,-4.488e+01,-3.234e+01,-3.836e+01,-1.719e+00
1.117e+03,-4.407e+01,-3.238e+01,-3.840e+01,-1.744e+00
1.119e+03,-4.335e+01,-3.242e+01,-3.844e+01,-1.769e+00
1.122e+03,-4.269e+01,-3.245e+01,-3.848e+01,-1.794e+00
1.124e+03,-4.208e+01,-3.249e+01,-3.851e+01,-1.819e+00
1.127e+03,-4.153e+01,-3.253e+01,-3.855e+01,-1.844e+00
1.129e+03,-4.102e+01,-3.257e+01,-3.859e+01,-1.869e+00
1.132e+03,-4.054e+01,-3.261e+01,-3.863e+01,-1.894e+00
1.134e+03,-4.010e+01,-3.265e+01,-3.867e+01,-1.919e+00
1.137e+03,-3.969e+01,-3.269e+01,-3.871e+01,-1.944e+00
1.139e+03,-3.931e+01,-3.272e+01,-3.874e+01,-1.969e+00
1.142e+03,-3.895e+01,-3.276e+01,-3.878e+01,-1.994e+00
1.144e+03,-3.862e+01,-3.280e+01,-3.882e+01,-2.019e+00
1.147e+03,-3.830e+01,-3.284e+01,-3.886e+01,-2.044e+00
1.149e+03,-3.800e+01,-3.288e+01,-3.890e+01,-2.069e+00
1.152e+03,-3.772e+01,-3.291e+01,-3.893e+01,-2.094e+00
1.154e+03,-3.746e+01,-3.295e+01,-3.897e+01,-2.119e+00
1.157e+03,-3.721e+01,-3.299e+01,-3.901e+01,-2.144e+00
1.159e+03,-3.698e+01,-3.303e+01,-3.905e+01,-2.169e+00
1.162e+03,-3.676e+01,-3.306e+01,-3.908e+01,-2.194e+00
1.164e+03,-3.655e+01,-3.310e+01,-3.912e+01,-2.219e+00
1.167e+03,-3.636e+01,-3.314e+01,-3.916e+01,-2.244e+00
1.169e+03,-3.617e+01,-3.318e+01,-3.920e+01,-2.269e+00
1.172e+03,-3.600e+01,-3.321e+01,-3.923e+01,-2.294e+00
1.174e+03,-3.583e+01,-3.325e+01,-3.927e+01,-2.319e+00
1.177e+03,-3.568e+01,-3.329e+01,-3.931e+01,-2.344e+00
1.179e+03,-3.553e+01,-3.332e+01,-3.934e+01,-2.369e+00
1.182e+03,-3.540e+01,-3.336e+01,-3.938e+01,-2.394e+00
1.184e+03,-3.527e+01,-3.340e+01,-3.942e+01,-2.419e+00
1.187e+03,-3.515e+01,-3.343e+01,-3.945e+01,-2.444e+00
1.189e+03,-3.504e+01,-3.347e+01,-3.949e+01,-2.469e+00
1.192e+03,-3.494e+01,-3.351e+01,-3.953e+01,-2.494e+00
1.194e+03,-3.484e+01,-3.354e+01,-3.956e+01,-2.519e+00
1.197e+03,-3.475e+01,-3.358e+01,-3.960e+01,-2.544e+00
1.199e+03,-3.467e+01,-3.362e+01,-3.964e+01,-2.569e+00
1.202e+03,-3.459e+01,-3.365e+01,-3.967e+01,-2.594e+00
1.204e+03,-3.453e+01,-3.369e+01,-3.971e+01,-2.619e+00
1.207e+03,-3.446e+01,-3.372e+01,-3.975e+01,-2.644e+00
1.209e+03,-3.441e+01,-3.376e+01,-3.978e+01,-2.669e+00
1.212e+03,-3.436e+01,-3.380e+01,-3.982e+01,-2.694e+00
1.214e+03,-3.432e+01,-3.383e+01,-3.985e+01,-2.719e+00
1.217e+03,-3.428e+01,-3.387e+01,-3.989e+01,-2.744e+00
1.219e+03,-3.425e+01,-3.390e+01,-3.992e+01,-2.769e+00
1.222e+03,-3.422e+01,-3.394e+01,-3.996e+01,-2.794e+00
1.224e+03,-3.420e+01,-3.397e+01,-4.000e+01,-2.819e+00
1.227e+03,-3.419e+01,-3.401e+01,-4.003e+01,-2.844e+00
1.229e+03,-3.418e+01,-3.405e+01,-4.007e+01,-2.869e+00
1.232e+03,-3.417e+01,-3.408e+01,-4.010e+01,-2.894e+00
1.234e+03,-3.417e+01,-3.412e+01,-4.014e+01,-2.919e+00
1.237e+03,-3.418e+01,-3.415e+01,-4.017e+01,-2.944e+00
1.239e+03,-3.419e+01,-3.419e+01,-4.021e+01,-2.970e+00
1.242e+03,-3.421e+01,-3.422e+01,-4.024e+01,-2.995e+00
1.244e+03,-3.424e+01,-3.426e+01,-4.028e+01,-3.020e+00
1.247e+03,-3.426e+01,-3.429e+01,-4.031e+01,-3.045e+00
1.249e+03,-3.430e+01,-3.433e+01,-4.035e+01,-3.070e+00
1.252e+03,-3.434e+01,-3.436e+01,-4.038e+01,-3.095e+00
1.254e+03,-3.438e+01,-3.440e+01,-4.042e+01,-3.120e+00
1.257e+03,-3.443e+01,-3.443e+01,-4.045e+01,-3.145e+00
1.259e+03,-3.449e+01,-3.446e+01,-4.049e+01,-3.170e+00
1.262e+03,-3.455e+01,-3.450e+01,-4.052e+01,-3.195e+00
1.264e+03,-3.461e+01,-3.453e+01,-4.055e+01,-3.220e+00
1.267e+03,-3.469e+01,-3.457e+01,-4.059e+01,-3.245e+00
1.269e+03,-3.476e+01,-3.460e+01,-4.062e+01,-3.270e+00
1.272e+03,-3.484e+01,-3.464e+01,-4.066e+01,-3.295e+00
1.274e+03,-3.493e+01,-3.467e+01,-4.069e+01,-3.320e+00
1.277e+03,-3.503e+01,-3.470e+01,-4.073e+01,-3.345e+00
1.279e+03,-3.513e+01,-3.474e+01,-4.076e+01,-3.370e+00
1.282e+03,-3.523e+01,-3.477e+01,-4.079e+01,-3.395e+00
1.284e+03,-3.534e+01,-3.481e+01,-4.083e+01,-3.420e+00
1.287e+03,-3.546e+01,-3.484e+01,-4.086e+01,-3.445e+00
1.289e+03,-3.558e+01,-3.487e+01,-4.089e+01,-3.470e+00
1.292e+03,-3.571e+01,-3.491e+01,-4.093e+01,-3.495e+00
1.294e+03,-3.585e+01,-3.494e+01,-4.096e+01,-3.520e+00
1.297e+03,-3.599e+01,-3.497e+01,-4.100e+01,-3.545e+00
1.299e+03,-3.614e+01,-3.501e+01,-4.103e+01,-3.570e+00
1.302e+03,-3.630e+01,-3.504e+01,-4.106e+01,-3.595e+00
1.304e+03,-3.646e+01,-3.508e+01,-4.110e+01,-3.620e+00
1.307e+03,-3.663e+01,-3.511e+01,-4.113e+01,-3.645e+00
1.309e+03,-3.681e+01,-3.514e+01,-4.116e+01,-3.670e+00
1.312e+03,-3.700e+01,-3.517e+01,-4.120e+01,-3.695e+00
1.314e+03,-3.719e+01,-3.521e+01,-4.123e+01,-3.720e+00
1.317e+03,-3.740e+01,-3.524e+01,-4.126e+01,-3.745e+00
1.319e+03,-3.761e+01,-3.527e+01,-4.129e+01,-3.770e+00
1.322e+03,-3.783e+01,-3.531e+01,-4.133e+01,-3.795e+00
1.324e+03,-3.806e+01,-3.534e+01,-4.136e+01,-3.820e+00
1.327e+03,-3.830e+01,-3.537e+01,-4.139e+01,-3.845e+00
1.329e+03,-3.855e+01,-3.541e+01,-4.143e+01,-3.870e+00
1.332e+03,-3.882e+01,-3.544e+01,-4.146e+01,-3.895e+00
1.335e+03,-3.909e+01,-3.547e+01,-4.149e+01,-3.920e+00
1.337e+03,-3.938e+01,-3.550e+01,-4.152e+01,-3.945e+00
1.340e+03,-3.968e+01,-3.554e+01,-4.156e+01,-3.970e+00
1.342e+03,-3.999e+01,-3.557e+01,-4.159e+01,-3.995e+00
1.345e+03,-4.032e+01,-3.560e+01,-4.162e+01,-4.020e+00
1.347e+03,-4.066e+01,-3.563e+01,-4.165e+01,-4.045e+00
1.350e+03,-4.102e+01,-3.566e+01,-4.169e+01,-4.070e+00
1.352e+03,-4.141e+01,-3.570e+01,-4.172e+01,-4.095e+00
1.355e+03,-4.181e+01,-3.573e+01,-4.175e+01,-4.120e+00
1.357e+03,-4.223e+01,-3.576e+01,-4.178e+01,-4.145e+00
1.360e+03,-4.267e+01,-3.579e+01,-4.181e+01,-4.170e+00
1.362e+03,-4.315e+01,-3.582e+01,-4.185e+01,-4.195e+00
1.365e+03,-4.365e+01,-3.586e+01,-4.188e+01,-4.220e+00
1.367e+03,-4.418e+01,-3.589e+01,-4.191e+01,-4.245e+00
1.370e+03,-4.475e+01,-3.592e+01,-4.194e+01,-4.270e+00
1.372e+03,-4.537e+01,-3.595e+01,-4.197e+01,-4.296e+00
1.375e+03,-4.603e+01,-3.598e+01,-4.200e+01,-4.321e+00
1.377e+03,-4.674e+01,-3.602e+01,-4.204e+01,-4.346e+00
1.380e+03,-4.752e+01,-3.605e+01,-4.207e+01,-4.371e+00
1.382e+03,-4.837e+01,-3.608e+01,-4.210e+01,-4.396e+00
1.385e+03,-4.932e+01,-3.611e+01,-4.213e+01,-4.421e+00
1.387e+03,-5.038e+01,-3.614e+01,-4.216e+01,-4.446e+00
1.390e+03,-5.159e+01,-3.617e+01,-4.219e+01,-4.471e+00
1.392e+03,-5.298e+01,-3.620e+01,-4.222e+01,-4.496e+00
1.395e+03,-5.464e+01,-3.623e+01,-4.226e+01,-4.521e+00
1.397e+03,-5.668e+01,-3.627e+01,-4.229e+01,-4.546e+00
1.400e+03,-5.934e+01,-3.630e+01,-4.232e+01,-4.571e+00
1.402e+03,-6.316e+01,-3.633e+01,-4.235e+01,-4.596e+00
1.405e+03,-7.008e+01,-3.636e+01,-4.238e+01,-4.621e+00
1.407e+03,-8.363e+01,-3.639e+01,-4.241e+01,-1.504e+00
1.410e+03,-6.708e+01,-3.642e+01,-4.244e+01,-1.529e+00
1.412e+03,-6.177e+01,-3.645e+01,-4.247e+01,-1.554e+00
1.415e+03,-5.852e+01,-3.648e+01,-4.250e+01,-1.579e+00
1.417e+03,-5.617e+01,-3.651e+01,-4.253e+01,-1.604e+00
1.420e+03,-5.435e+01,-3.654e+01,-4.256e+01,-1.629e+00
1.422e+03,-5.285e+01,-3.657e+01,-4.259e+01,-1.654e+00
1.425e+03,-5.159e+01,-3.660e+01,-4.263e+01,-1.679e+00
1.427e+03,-5.050e+01,-3.664e+01,-4.266e+01,-1.704e+00
1.430e+03,-4.955e+01,-3.667e+01,-4.269e+01,-1.729e+00
1.432e+03,-4.870e+01,-3.670e+01,-4.272e+01,-1.754e+00
1.435e+03,-4.793e+01,-3.673e+01,-4.275e+01,-1.779e+00
1.437e+03,-4.724e+01,-3.676e+01,-4.278e+01,-1.804e+00
1.440e+03,-4.661e+01,-3.679e+01,-4.281e+01,-1.829e+00
1.442e+03,-4.602e+01,-3.682e+01,-4.284e+01,-1.854e+00
1.445e+03,-4.549e+01,-3.685e+01,-4.287e+01,-1.879e+00
1.447e+03,-4.499e+01,-3.688e+01,-4.290e+01,-1.904e+00
1.450e+03,-4.453e+01,-3.691e+01,-4.293e+01,-1.929e+00
1.452e+03,-4.410e+01,-3.694e+01,-4.296e+01,-1.955e+00
1.455e+03,-4.370e+01,-3.697e+01,-4.299e+01,-1.980e+00
1.457e+03,-4.333e+01,-3.700e+01,-4.302e+01,-2.005e+00
1.460e+03,-4.297e+01,-3.703e+01,-4.305e+01,-2.030e+00
1.462e+03,-4.264e+01,-3.706e+01,-4.308e+01,-2.055e+00
1.465e+03,-4.233e+01,-3.709e+01,-4.311e+01,-2.080e+00
1.467e+03,-4.204e+01,-3.712e+01,-4.314e+01,-2.105e+00
1.470e+03,-4.176e+01,-3.715e+01,-4.317e+01,-2.130e+00
1.472e+03,-4.150e+01,-3.718e+01,-4.320e+01,-2.155e+00
1.475e+03,-4.125e+01,-3.720e+01,-4.323e+01,-2.180e+00
1.477e+03,-4.102e+01,-3.723e+01,-4.325e+01,-2.205e+00
1.480e+03,-4.080e+01,-3.726e+01,-4.328e+01,-2.230e+00
1.482e+03,-4.059e+01,-3.729e+01,-4.331e+01,-2.255e+00
1.485e+03,-4.039e+01,-3.732e+01,-4.334e+01,-2.280e+00
1.487e+03,-4.021e+01,-3.735e+01,-4.337e+01,-2.305e+00
1.490e+03,-4.003e+01,-3.738e+01,-4.340e+01,-2.330e+00
1.492e+03,-3.987e+01,-3.741e+01,-4.343e+01,-2.355e+00
1.495e+03,-3.971e+01,-3.744e+01,-4.346e+01,-2.380e+00
1.497e+03,-3.956e+01,-3.747e+01,-4.349e+01,-2.405e+00
1.500e+03,-3.943e+01,-3.750e+01,-4.352e+01,-2.430e+00
1.502e+03,-3.930e+01,-3.753e+01,-4.355e+01,-2.455e+00
1.505e+03,-3.918e+01,-3.755e+01,-4.358e+01,-2.480e+00
1.507e+03,-3.906e+01,-3.758e+01,-4.360e+01,-2.505e+00
1.510e+03,-3.896e+01,-3.761e+01,-4.363e+01,-2.530e+00
1.512e+03,-3.886e+01,-3.764e+01,-4.366e+01,-2.555e+00
1.515e+03,-3.876e+01,-3.767e+01,-4.369e+01,-2.580e+00
1.517e+03,-3.868e+01,-3.770e+01,-4.372e+01,-2.605e+00
1.520e+03,-3.860e+01,-3.773e+01,-4.375e+01,-2.630e+00
1.522e+03,-3.853e+01,-3.776e+01,-4.378e+01,-2.655e+00
1.525e+03,-3.847e+01,-3.778e+01,-4.380e+01,-2.680e+00
1.527e+03,-3.841e+01,-3.781e+01,-4.383e+01,-2.705e+00
1.530e+03,-3.835e+01,-3.784e+01,-4.386e+01,-2.730e+00
1.532e+03,-3.831e+01,-3.787e+01,-4.389e+01,-2.755e+00
1.535e+03,-3.827e+01,-3.790e+01,-4.392e+01,-2.780e+00
1.537e+03,-3.823e+01,-3.793e+01,-4.395e+01,-2.805e+00
1.540e+03,-3.820e+01,-3.795e+01,-4.398e+01,-2.830e+00
1.542e+03,-3.818e+01,-3.798e+01,-4.400e+01,-2.855e+00
1.545e+03,-3.816e+01,-3.801e+01,-4.403e+01,-2.880e+00
1.547e+03,-3.815e+01,-3.804e+01,-4.406e+01,-2.905e+00
1.550e+03,-3.814e+01,-3.807e+01,-4.409e+01,-2.930e+00
1.552e+03,-3.814e+01,-3.810e+01,-4.412e+01,-2.955e+00
1.555e+03,-3.815e+01,-3.812e+01,-4.414e+01,-2.980e+00
1.557e+03,-3.816e+01,-3.815e+01,-4.417e+01,-3.005e+00
1.560e+03,-3.817e+01,-3.818e+01,-4.420e+01,-3.030e+00
1.562e+03,-3.819e+01,-3.821e+01,-4.423e+01,-3.055e+00
1.565e+03,-3.822e+01,-3.823e+01,-4.426e+01,-3.080e+00
1.567e+03,-3.825e+01,-3.826e+01,-4.428e+01,-3.105e+00
1.570e+03,-3.828e+01,-3.829e+01,-4.431e+01,-3.130e+00
1.572e+03,-3.833e+01,-3.832e+01,-4.434e+01,-3.155e+00
1.575e+03,-3.837e+01,-3.835e+01,-4.437e+01,-3.180e+00
1.577e+03,-3.843e+01,-3.837e+01,-4.439e+01,-3.205e+00
1.580e+03,-3.848e+01,-3.840e+01,-4.442e+01,-3.230e+00
1.582e+03,-3.855e+01,-3.843e+01,-4.445e+01,-3.255e+00
1.585e+03,-3.862e+01,-3.846e+01,-4.448e+01,-3.281e+00
1.587e+03,-3.869e+01,-3.848e+01,-4.450e+01,-3.306e+00
1.590e+03,-3.877e+01,-3.851e+01,-4.453e+01,-3.331e+00
1.592e+03,-3.886e+01,-3.854e+01,-4.456e+01,-3.356e+00
1.595e+03,-3.895e+01,-3.856e+01,-4.459e+01,-3.381e+00
1.597e+03,-3.905e+01,-3.859e+01,-4.461e+01,-3.406e+00
1.600e+03,-3.915e+01,-3.862e+01,-4.464e+01,-3.431e+00
1.602e+03,-3.926e+01,-3.865e+01,-4.467e+01,-3.456e+00
1.605e+03,-3.938e+01,-3.867e+01,-4.469e+01,-3.481e+00
1.607e+03,-3.950e+01,-3.870e+01,-4.472e+01,-3.506e+00
1.610e+03,-3.963e+01,-3.873e+01,-4.475e+01,-3.531e+00
1.612e+03,-3.976e+01,-3.875e+01,-4.478e+01,-3.556e+00
1.615e+03,-3.990e+01,-3.878e+01,-4.480e+01,-3.581e+00
1.617e+03,-4.005e+01,-3.881e+01,-4.483e+01,-3.606e+00
1.620e+03,-4.021e+01,-3.884e+01,-4.486e+01,-3.631e+00
1.622e+03,-4.037e+01,-3.886e+01,-4.488e+01,-3.656e+00
1.625e+03,-4.054e+01,-3.889e+01,-4.491e+01,-3.681e+00
1.627e+03,-4.072e+01,-3.892e+01,-4.494e+01,-3.706e+00
1.630e+03,-4.091e+01,-3.894e+01,-4.496e+01,-3.731e+00
1.632e+03,-4.111e+01,-3.897e+01,-4.499e+01,-3.756e+00
1.635e+03,-4.131e+01,-3.900e+01,-4.502e+01,-3.781e+00
1.637e+03,-4.152e+01,-3.902e+01,-4.504e+01,-3.806e+00
1.640e+03,-4.175e+01,-3.905e+01,-4.507e+01,-3.831e+00
1.642e+03,-4.198e+01,-3.907e+01,-4.510e+01,-3.856e+00
1.645e+03,-4.223e+01,-3.910e+01,-4.512e+01,-3.881e+00
1.647e+03,-4.248e+01,-3.913e+01,-4.515e+01,-3.906e+00
1.650e+03,-4.275e+01,-3.915e+01,-4.517e+01,-3.931e+00
1.652e+03,-4.303e+01,-3.918e+01,-4.520e+01,-3.956e+00
1.655e+03,-4.332e+01,-3.921e+01,-4.523e+01,-3.981e+00
1.657e+03,-4.362e+01,-3.923e+01,-4.525e+01,-4.006e+00
1.660e+03,-4.395e+01,-3.926e+01,-4.528e+01,-4.031e+00
1.662e+03,-4.428e+01,-3.929e+01,-4.531e+01,-4.056e+00
1.665e+03,-4.464e+01,-3.931e+01,-4.533e+01,-4.081e+00
1.667e+03,-4.501e+01,-3.934e+01,-4.536e+01,-4.106e+00
1.670e+03,-4.540e+01,-3.936e+01,-4.538e+01,-4.131e+00
1.672e+03,-4.582e+01,-3.939e+01,-4.541e+01,-4.156e+00
1.675e+03,-4.625e+01,-3.942e+01,-4.544e+01,-4.181e+00
1.677e+03,-4.672e+01,-3.944e+01,-4.546e+01,-4.206e+00
1.680e+03,-4.721e+01,-3.947e+01,-4.549e+01,-4.231e+00
1.682e+03,-4.774e+01,-3.949e+01,-4.551e+01,-4.256e+00
1.685e+03,-4.830e+01,-3.952e+01,-4.554e+01,-4.281e+00
1.687e+03,-4.890e+01,-3.954e+01,-4.557e+01,-4.306e+00
1.690e+03,-4.955e+01,-3.957e+01,-4.559e+01,-4.331e+00
1.692e+03,-5.025e+01,-3.960e+01,-4.562e+01,-4.356e+00
1.695e+03,-5.102e+01,-3.962e+01,-4.564e+01,-4.381e+00
1.697e+03,-5.186e+01,-3.965e+01,-4.567e+01,-4.406e+00
1.700e+03,-5.279e+01,-3.967e+01,-4.569e+01,-4.431e+00
1.702e+03,-5.384e+01,-3.970e+01,-4.572e+01,-4.456e+00
1.705e+03,-5.502e+01,-3.972e+01,-4.574e+01,-4.481e+00
1.707e+03,-5.639e+01,-3.975e+01,-4.577e+01,-4.506e+00
1.710e+03,-5.802e+01,-3.978e+01,-4.580e+01,-4.531e+00
1.712e+03,-6.001e+01,-3.980e+01,-4.582e+01,-4.556e+00
1.715e+03,-6.259e+01,-3.983e+01,-4.585e+01,-4.581e+00
1.717e+03,-6.627e+01,-3.985e+01,-4.587e+01,-4.607e+00
1.720e+03,-7.271e+01,-3.988e+01,-4.590e+01,-4.632e+00
1.722e+03,-9.322e+01,-3.990e+01,-4.592e+01,-1.515e+00
1.725e+03,-7.126e+01,-3.993e+01,-4.595e+01,-1.540e+00
1.727e+03,-6.562e+01,-3.995e+01,-4.597e+01,-1.565e+00
1.730e+03,-6.225e+01,-3.998e+01,-4.600e+01,-1.590e+00
1.732e+03,-5.984e+01,-4.000e+01,-4.602e+01,-1.615e+00
1.735e+03,-5.797e+01,-4.003e+01,-4.605e+01,-1.640e+00
1.737e+03,-5.645e+01,-4.005e+01,-4.607e+01,-1.665e+00
1.740e+03,-5.516e+01,-4.008e+01,-4.610e+01,-1.690e+00
1.742e+03,-5.406e+01,-4.010e+01,-4.612e+01,-1.715e+00
1.745e+03,-5.308e+01,-4.013e+01,-4.615e+01,-1.740e+00
1.747e+03,-5.222e+01,-4.015e+01,-4.617e+01,-1.765e+00
1.750e+03,-5.144e+01,-4.018e+01,-4.620e+01,-1.790e+00
1.752e+03,-5.074e+01,-4.020e+01,-4.622e+01,-1.815e+00
1.755e+03,-5.009e+01,-4.023e+01,-4.625e+01,-1.840e+00
1.757e+03,-4.950e+01,-4.025e+01,-4.627e+01,-1.865e+00
1.760e+03,-4.896e+01,-4.028e+01,-4.630e+01,-1.890e+00
1.762e+03,-4.846e+01,-4.030e+01,-4.632e+01,-1.915e+00
1.765e+03,-4.799e+01,-4.033e+01,-4.635e+01,-1.940e+00
1.767e+03,-4.755e+01,-4.035e+01,-4.637e+01,-1.965e+00
1.770e+03,-4.714e+01,-4.037e+01,-4.640e+01,-1.990e+00
1.772e+03,-4.676e+01,-4.040e+01,-4.642e+01,-2.015e+00
1.775e+03,-4.640e+01,-4.042e+01,-4.644e+01,-2.040e+00
1.777e+03,-4.606e+01,-4.045e+01,-4.647e+01,-2.065e+00
1.780e+03,-4.574e+01,-4.047e+01,-4.649e+01,-2.090e+00
1.782e+03,-4.544e+01,-4.050e+01,-4.652e+01,-2.115e+00
1.785e+03,-4.516e+01,-4.052e+01,-4.654e+01,-2.140e+00
1.787e+03,-4.489e+01,-4.055e+01,-4.657e+01,-2.165e+00
1.790e+03,-4.464e+01,-4.057e+01,-4.659e+01,-2.190e+00
1.792e+03,-4.440e+01,-4.059e+01,-4.662e+01,-2.215e+00
1.795e+03,-4.417e+01,-4.062e+01,-4.664e+01,-2.240e+00
