w,A,p
4.284e+01,2.816e-01,-3.897e+00
4.304e+01,2.776e-01,-3.915e+00
4.324e+01,2.736e-01,-3.933e+00
4.344e+01,2.696e-01,-3.951e+00
4.364e+01,2.656e-01,-3.969e+00
4.384e+01,2.617e-01,-3.988e+00
4.404e+01,2.578e-01,-4.006e+00
4.424e+01,2.539e-01,-4.024e+00
4.444e+01,2.500e-01,-4.042e+00
4.464e+01,2.461e-01,-4.060e+00
4.484e+01,2.423e-01,-4.079e+00
4.505e+01,2.385e-01,-4.097e+00
4.525e+01,2.347e-01,-4.115e+00
4.545e+01,2.310e-01,-4.133e+00
4.565e+01,2.272e-01,-4.151e+00
4.585e+01,2.235e-01,-4.170e+00
4.605e+01,2.198e-01,-4.188e+00
4.625e+01,2.161e-01,-4.206e+00
4.645e+01,2.125e-01,-4.224e+00
4.665e+01,2.088e-01,-4.243e+00
4.685e+01,2.052e-01,-4.261e+00
4.705e+01,2.017e-01,-4.279e+00
4.725e+01,1.981e-01,-4.297e+00
4.745e+01,1.946e-01,-4.315e+00
4.765e+01,1.911e-01,-4.334e+00
4.785e+01,1.876e-01,-4.352e+00
4.805e+01,1.841e-01,-4.370e+00
4.825e+01,1.807e-01,-4.388e+00
4.845e+01,1.773e-01,-4.406e+00
4.865e+01,1.739e-01,-4.425e+00
4.885e+01,1.706e-01,-4.443e+00
4.905e+01,1.672e-01,-4.461e+00
4.925e+01,1.639e-01,-4.479e+00
4.945e+01,1.607e-01,-4.497e+00
4.965e+01,1.574e-01,-4.516e+00
4.985e+01,1.542e-01,-4.534e+00
5.005e+01,1.510e-01,-4.552e+00
5.025e+01,1.478e-01,-4.570e+00
5.045e+01,1.447e-01,-4.588e+00
5.065e+01,1.416e-01,-4.607e+00
5.085e+01,1.385e-01,-4.625e+00
5.105e+01,1.354e-01,-4.643e+00
5.125e+01,1.324e-01,-4.661e+00
5.145e+01,1.293e-01,-4.680e+00
5.165e+01,1.264e-01,-4.698e+00
5.185e+01,1.234e-01,-4.716e+00
5.205e+01,1.205e-01,-4.734e+00
5.225e+01,1.176e-01,-4.752e+00
5.245e+01,1.147e-01,-4.771e+00
5.265e+01,1.118e-01,-4.789e+00
5.285e+01,1.090e-01,-4.807e+00
5.305e+01,1.062e-01,-4.825e+00
5.325e+01,1.035e-01,-4.843e+00
5.345e+01,1.007e-01,-4.862e+00
5.365e+01,9.802e-02,-4.880e+00
5.385e+01,9.534e-02,-4.898e+00
5.405e+01,9.269e-02,-4.916e+00
5.425e+01,9.006e-02,-4.934e+00
5.445e+01,8.746e-02,-4.953e+00
5.465e+01,8.489e-02,-4.971e+00
5.485e+01,8.235e-02,-4.989e+00
5.506e+01,7.984e-02,-5.007e+00
5.526e+01,7.735e-02,-5.025e+00
5.546e+01,7.490e-02,-5.044e+00
5.566e+01,7.247e-02,-5.062e+00
5.586e+01,7.007e-02,-5.080e+00
5.606e+01,6.769e-02,-5.098e+00
5.626e+01,6.535e-02,-5.117e+00
5.646e+01,6.303e-02,-5.135e+00
5.666e+01,6.074e-02,-5.153e+00
5.686e+01,5.848e-02,-5.171e+00
5.706e+01,5.625e-02,-5.189e+00
5.726e+01,5.404e-02,-5.208e+00
5.746e+01,5.187e-02,-5.226e+00
5.766e+01,4.972e-02,-5.244e+00
5.786e+01,4.760e-02,-5.262e+00
5.806e+01,4.551e-02,-5.280e+00
5.826e+01,4.344e-02,-5.299e+00
5.846e+01,4.140e-02,-5.317e+00
5.866e+01,3.939e-02,-5.335e+00
5.886e+01,3.741e-02,-5.353e+00
5.906e+01,3.546e-02,-5.371e+00
5.926e+01,3.353e-02,-5.390e+00
5.946e+01,3.164e-02,-5.408e+00
5.966e+01,2.977e-02,-5.426e+00
5.986e+01,2.792e-02,-5.444e+00
6.006e+01,2.611e-02,-5.462e+00
6.026e+01,2.432e-02,-5.481e+00
6.046e+01,2.256e-02,-5.499e+00
6.066e+01,2.082e-02,-5.517e+00
6.086e+01,1.912e-02,-5.535e+00
6.106e+01,1.744e-02,-5.554e+00
6.126e+01,1.579e-02,-5.572e+00
6.146e+01,1.416e-02,-5.590e+00
6.166e+01,1.256e-02,-5.608e+00
6.186e+01,1.099e-02,-5.626e+00
6.206e+01,9.445e-03,-5.645e+00
6.226e+01,7.926e-03,-5.663e+00
6.246e+01,6.433e-03,-5.681e+00
6.266e+01,4.967e-03,-5.699e+00
6.286e+01,3.527e-03,-5.717e+00
6.306e+01,2.113e-03,-5.736e+00
6.326e+01,7.256e-04,-5.754e+00
6.346e+01,6.363e-04,-2.630e+00
6.366e+01,1.973e-03,-2.649e+00
6.386e+01,3.283e-03,-2.667e+00
6.406e+01,4.568e-03,-2.685e+00
6.426e+01,5.828e-03,-2.703e+00
6.446e+01,7.062e-03,-2.721e+00
6.466e+01,8.272e-03,-2.740e+00
6.486e+01,9.456e-03,-2.758e+00
6.507e+01,1.062e-02,-2.776e+00
6.527e+01,1.175e-02,-2.794e+00
6.547e+01,1.286e-02,-2.812e+00
6.567e+01,1.395e-02,-2.831e+00
6.587e+01,1.501e-02,-2.849e+00
6.607e+01,1.605e-02,-2.867e+00
6.627e+01,1.706e-02,-2.885e+00
6.647e+01,1.805e-02,-2.904e+00
6.667e+01,1.902e-02,-2.922e+00
6.687e+01,1.996e-02,-2.940e+00
6.707e+01,2.088e-02,-2.958e+00
6.727e+01,2.177e-02,-2.976e+00
6.747e+01,2.265e-02,-2.995e+00
6.767e+01,2.350e-02,-3.013e+00
6.787e+01,2.432e-02,-3.031e+00
6.807e+01,2.513e-02,-3.049e+00
6.827e+01,2.591e-02,-3.067e+00
6.847e+01,2.667e-02,-3.086e+00
6.867e+01,2.741e-02,-3.104e+00
6.887e+01,2.813e-02,-3.122e+00
6.907e+01,2.882e-02,-3.140e+00
6.927e+01,2.950e-02,-3.158e+00
6.947e+01,3.015e-02,-3.177e+00
6.967e+01,3.078e-02,-3.195e+00
6.987e+01,3.139e-02,-3.213e+00
7.007e+01,3.198e-02,-3.231e+00
7.027e+01,3.255e-02,-3.249e+00
7.047e+01,3.310e-02,-3.268e+00
7.067e+01,3.363e-02,-3.286e+00
7.087e+01,3.413e-02,-3.304e+00
7.107e+01,3.462e-02,-3.322e+00
7.127e+01,3.509e-02,-3.341e+00
7.147e+01,3.554e-02,-3.359e+00
7.167e+01,3.597e-02,-3.377e+00
7.187e+01,3.639e-02,-3.395e+00
7.207e+01,3.678e-02,-3.413e+00
7.227e+01,3.715e-02,-3.432e+00
7.247e+01,3.751e-02,-3.450e+00
7.267e+01,3.785e-02,-3.468e+00
7.287e+01,3.817e-02,-3.486e+00
7.307e+01,3.847e-02,-3.504e+00
7.327e+01,3.875e-02,-3.523e+00
7.347e+01,3.902e-02,-3.541e+00
7.367e+01,3.927e-02,-3.559e+00
7.387e+01,3.950e-02,-3.577e+00
7.407e+01,3.972e-02,-3.595e+00
7.427e+01,3.992e-02,-3.614e+00
7.447e+01,4.010e-02,-3.632e+00
7.467e+01,4.027e-02,-3.650e+00
7.487e+01,4.042e-02,-3.668e+00
7.508e+01,4.056e-02,-3.686e+00
7.528e+01,4.068e-02,-3.705e+00
7.548e+01,4.078e-02,-3.723e+00
7.568e+01,4.087e-02,-3.741e+00
7.588e+01,4.095e-02,-3.759e+00
7.608e+01,4.101e-02,-3.778e+00
7.628e+01,4.105e-02,-3.796e+00
7.648e+01,4.108e-02,-3.814e+00
7.668e+01,4.110e-02,-3.832e+00
7.688e+01,4.110e-02,-3.850e+00
7.708e+01,4.109e-02,-3.869e+00
7.728e+01,4.107e-02,-3.887e+00
7.748e+01,4.104e-02,-3.905e+00
7.768e+01,4.099e-02,-3.923e+00
7.788e+01,4.092e-02,-3.941e+00
